symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
PCB,PCB Bancorp,Micro-Cap,20.15,289.39M,96.31M,24.98M,14.36M,1.74,11.58,9.89,$0.80 (3.97%),"Feb 14, 2025","8,274",,20.13,20.34,20.06 - 20.44,14.50 - 22.20,0.68,Hold,22.00 (+9.18%),"Jan 30, 2025",Banks - Regional,Financials,2003,NASDAQ
LESL,"Leslie's, Inc.",Micro-Cap,1.560,288.95M,1.33B,-28.39M,185.23M,-0.16,n/a,40.41,n/a,n/a,"6,512,895",,1.580,1.590,1.560 - 1.660,1.560 - 8.050,1.10,Hold,3.24 (+107.69%),"Feb 6, 2025",Specialty Retail,Consumer Discretionary,"Oct 29, 2020",NASDAQ
LPBB,Launch Two Acquisition Corp.,Micro-Cap,10.12,288.08M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,912",,10.12,10.12,10.05 - 10.12,9.97 - 10.34,n/a,n/a,n/a,n/a,Shell Companies,Financials,"Oct 8, 2024",NASDAQ
VLN,Valens Semiconductor Ltd.,Micro-Cap,2.710,288.04M,63.13M,-26.48M,106.29M,-0.25,n/a,n/a,n/a,n/a,"1,417,510",,2.580,2.520,2.520 - 3.000,1.670 - 3.500,0.32,Strong Buy,4.00 (+47.6%),"Feb 26, 2025",Semiconductors,Technology,2006,NYSE
ONTF,"ON24, Inc.",Micro-Cap,6.91,287.81M,150.74M,-43.16M,41.65M,-1.04,n/a,91.28,n/a,n/a,"50,023",,6.92,6.93,6.91 - 7.00,5.37 - 8.30,0.53,Hold,8.00 (+15.77%),"Feb 25, 2025",Software - Application,Technology,"Feb 3, 2021",NYSE
NEN,New England Realty Associates Limited Partnership,Micro-Cap,82.00,287.11M,81.17M,13.75M,3.50M,3.91,20.99,n/a,$1.60 (1.95%),"Dec 16, 2024",n/a,,82.00,82.00,82.00 - 82.00,67.50 - 84.00,0.34,n/a,n/a,n/a,Real Estate Services,Real Estate,1977,NYSEAMERICAN
SMRT,"SmartRent, Inc.",Micro-Cap,1.490,286.93M,199.77M,-25.52M,192.57M,-0.13,n/a,n/a,n/a,n/a,"647,722",,1.535,1.510,1.490 - 1.540,1.170 - 3.050,1.90,Hold,2.00 (+34.23%),"Mar 5, 2025",Software - Application,Technology,2017,NYSE
FNLC,"The First Bancorp, Inc.",Micro-Cap,25.72,286.92M,79.74M,27.05M,11.16M,2.43,10.58,n/a,$1.44 (5.60%),"Jan 6, 2025","13,478",,25.73,25.70,25.59 - 26.00,21.77 - 31.05,0.56,n/a,n/a,"Jan 22, 2025",Banks - Regional,Financials,"Jul 15, 1999",NASDAQ
AVR,Anteris Technologies Global Corp.,Micro-Cap,7.99,286.37M,2.83M,-71.77M,21.14M,-3.87,n/a,n/a,n/a,n/a,"99,914",,7.66,7.84,7.45 - 7.99,5.10 - 8.51,n/a,Strong Buy,16.50 (+106.51%),n/a,Medical Devices,Healthcare,"Dec 13, 2024",NASDAQ
ATYR,"aTyr Pharma, Inc.",Micro-Cap,3.410,286.24M,"235,000",-63.82M,83.94M,-0.93,n/a,n/a,n/a,n/a,"1,048,807",,3.625,3.590,3.380 - 3.650,1.420 - 4.225,1.11,Strong Buy,19.25 (+464.52%),"Mar 13, 2025",Biotechnology,Healthcare,"May 7, 2015",NASDAQ
DC,Dakota Gold Corp.,Micro-Cap,3.030,286.12M,n/a,-36.66M,94.43M,-0.41,n/a,n/a,n/a,n/a,"315,541",,3.250,3.250,3.020 - 3.270,1.840 - 3.350,1.10,Buy,7.50 (+147.53%),"Mar 27, 2025",Gold,Materials,2017,NYSEAMERICAN
CRDF,"Cardiff Oncology, Inc.",Micro-Cap,4.290,285.39M,"688,000",-43.01M,66.52M,-0.95,n/a,n/a,n/a,n/a,"467,104",,4.210,4.150,4.135 - 4.290,1.650 - 6.420,1.76,Strong Buy,10.33 (+140.79%),"Feb 27, 2025",Biotechnology,Healthcare,1999,NASDAQ
SPIR,"Spire Global, Inc.",Micro-Cap,11.72,285.00M,107.22M,-71.54M,24.32M,-3.49,n/a,n/a,n/a,n/a,"1,137,019",,11.57,11.46,11.47 - 12.56,6.26 - 21.43,2.28,Strong Buy,17.90 (+52.73%),"Mar 5, 2025",Specialty Business Services,Industrials,2012,NYSE
ILLR,Triller Group Inc.,Micro-Cap,1.750,284.97M,45.24M,-271.43M,162.84M,-2.96,n/a,n/a,n/a,n/a,"451,149",,1.710,1.720,1.680 - 1.790,0.661 - 8.860,n/a,n/a,n/a,"Feb 24, 2025",Software - Application,Technology,2015,NASDAQ
INBK,First Internet Bancorp,Micro-Cap,32.85,284.74M,117.65M,25.28M,8.67M,2.88,11.41,8.00,$0.24 (0.73%),"Dec 31, 2024","11,254",,33.28,33.22,32.68 - 33.50,24.18 - 43.26,0.74,Buy,41.00 (+24.81%),"Jan 22, 2025",Banks - Regional,Financials,1999,NASDAQ
AARD,"Aardvark Therapeutics, Inc.",Micro-Cap,13.30,284.41M,n/a,-13.85M,21.38M,-3.49,n/a,n/a,n/a,n/a,"182,655",,14.34,14.31,12.91 - 14.43,11.55 - 15.18,n/a,n/a,n/a,n/a,Biotechnology,Healthcare,"Feb 13, 2025",NASDAQ
ALLT,Allot Ltd.,Micro-Cap,7.45,283.74M,91.63M,-24.46M,38.09M,-0.64,n/a,248.33,n/a,n/a,"564,070",,7.45,7.44,7.30 - 7.64,1.73 - 9.44,1.06,Buy,13.00 (+74.5%),"Feb 25, 2025",Software - Infrastructure,Technology,"Nov 16, 2006",NASDAQ
LXRX,"Lexicon Pharmaceuticals, Inc.",Micro-Cap,0.785,283.74M,5.23M,-216.39M,361.49M,-0.74,n/a,n/a,n/a,n/a,"2,548,526",,0.751,0.741,0.750 - 0.827,0.620 - 3.260,1.05,Buy,4.00 (+409.62%),"Mar 10, 2025",Biotechnology,Healthcare,"Apr 7, 2000",NASDAQ
ALMS,Alumis Inc.,Micro-Cap,5.21,283.46M,n/a,-238.77M,54.41M,-15.60,n/a,n/a,n/a,n/a,"113,914",,5.02,5.10,4.99 - 5.33,4.74 - 13.53,n/a,Strong Buy,28.83 (+453.36%),"Feb 28, 2025",Biotechnology,Healthcare,"Jun 28, 2024",NASDAQ
